sal_code_2021,suburb,population_2021
SAL20133,Bannockburn (Vic.),6470
SAL10186,Banora Point,16460
SAL30148,Banyo,6105
SAL10188,Bar Beach,1292
SAL20136,Baranduda,3041
SAL30153,Barcaldine,1540
SAL10194,Barden Ridge,4129
SAL10195,Bardia,5747
SAL30154,Bardon,10153
SAL10196,Bardwell Park,2320
SAL10197,Bardwell Valley,2344
SAL30156,Barellan Point,1173
SAL30157,Bargara,8883
SAL10199,Bargo,4516
SAL10200,Barham,1569
SAL30159,Baringa,4604
SAL40073,Barmera,2884
SAL30168,Barney Point,1065
SAL10205,Barnsley,1735
SAL10206,Barooga,1888
SAL10207,Barraba,1329
SAL10208,Barrack Heights,6003
SAL80022,Barton,1946
SAL20162,Barwon Heads,4353
SAL10223,Basin View,1583
SAL10224,Bass Hill,10230
SAL50078,Bassendean (WA),10837
SAL10227,Bateau Bay,12516
SAL10228,Batehaven,1911
SAL50079,Bateman,3832
SAL10229,Batemans Bay,1573
SAL20165,Batesford,1141
SAL10231,Bathurst,7001
SAL10232,Batlow,1270
SAL30183,Battery Hill,2596
SAL60033,Battery Point,2096
SAL10233,Baulkham Hills,37415
SAL20169,Baxter,2166
SAL50081,Baynton (WA),4496
SAL50082,Bayonet Head,3272
SAL20173,Bayswater (Vic.),12262
SAL50083,Bayswater (WA),15288
SAL20174,Bayswater North,9014
SAL10237,Bayview (NSW),3807
SAL70025,Bayview (NT),1702
SAL30188,Bayview Heights,4175
SAL50084,Beachlands,1400
SAL30190,Beachmere,4782
SAL10238,Beacon Hill,7814
SAL10239,Beaconsfield (NSW),1172
SAL30191,Beaconsfield (Qld),5899
SAL60034,Beaconsfield (Tas.),1362
SAL20175,Beaconsfield (Vic.),7267
SAL50086,Beaconsfield (WA),5315
SAL20176,Beaconsfield Upper,2997
SAL30193,Beaudesert,6752
SAL20181,Beaufort (Vic.),1712
SAL20182,Beaumaris (Vic.),13947
SAL40085,Beaumont (SA),2731
SAL10243,Beaumont Hills,9041
SAL60036,Beauty Point,1285
SAL50090,Beckenham,9092
SAL50091,Bedford,5716
SAL40087,Bedford Park,1882
SAL50092,Bedfordale,3038
SAL50093,Beechboro,9112
SAL20186,Beechworth,4274
SAL10249,Beecroft,10291
SAL50098,Beeliar,8617
SAL30202,Beenleigh,8425
SAL30205,Beerwah,7734
SAL10253,Bega,5013
SAL40089,Belair,4718
SAL80024,Belconnen,8502
SAL50102,Beldon,4094
SAL10257,Belfield,6555
SAL30209,Belgian Gardens,2073
SAL20188,Belgrave,3894
SAL20189,Belgrave Heights,1398
SAL20190,Belgrave South,1670
SAL20191,Bell Park,5602
SAL20192,Bell Post Hill,5083
SAL10263,Bella Vista,8384
SAL70027,Bellamack,2423
SAL10264,Bellambi,4039
SAL30213,Bellara,3278
SAL10268,Bellbird,2338
SAL30214,Bellbird Park,9191
SAL30215,Bellbowrie,5495
SAL20195,Bellbrae,1346
SAL60039,Bellerive,4945
SAL50104,Bellevue (WA),1514
SAL40092,Bellevue Heights,2712
SAL10271,Bellevue Hill,10590
SAL20198,Bellfield (Banyule - Vic.),1996
SAL10273,Bellingen,3923
SAL30220,Bellmere,6588
SAL10276,Belmont (NSW),7289
SAL30224,Belmont (Qld),4498
SAL20201,Belmont (Vic.),15066
SAL50105,Belmont (WA),6959
SAL10277,Belmont North,6291
SAL10278,Belmont South,1053
SAL10279,Belmore,13781
SAL10283,Belrose,8726
SAL20204,Benalla,10822
SAL30230,Benaraby,1166
SAL20208,Bendigo,5652
SAL50110,Bennett Springs,5929
SAL30235,Benowa,9889
SAL10297,Bensville,2500
SAL20214,Bentleigh,17921
SAL20215,Bentleigh East,30159
SAL50111,Bentley (WA),9051
SAL30236,Bentley Park,8360
SAL10299,Berala,8757
SAL10301,Beresfield,3267
SAL50112,Beresford,1463
SAL10303,Berkeley,7798
SAL10304,Berkeley Vale,8951
SAL10305,Berkshire Park,2149
SAL10307,Bermagui,1865
SAL10308,Berowra,4762
SAL10309,Berowra Heights,5286
SAL40098,Berri,4143
SAL10315,Berridale,1300
SAL60042,Berriedale,2905
SAL10317,Berrigan,1264
SAL70029,Berrimah,1199
SAL30240,Berrinba,2615
SAL10321,Berry,3098
SAL30241,Berserker,7020
SAL50115,Bertram,6196
SAL20224,Berwick,50298
SAL30242,Bethania,6333
SAL40101,Beulah Park,1601
SAL20233,Beveridge,4642
SAL40102,Beverley (SA),1578
SAL50116,Beverley (WA),1109
SAL10329,Beverley Park,2646
SAL10330,Beverly Hills,10483
SAL10333,Bexley,19646
SAL10334,Bexley North,4281
SAL50117,Bibra Lake,5892
SAL60044,Bicheno,1049
SAL50119,Bicton,6961
SAL10339,Bidwill (NSW),4202
SAL30249,Biggera Waters,9973
SAL10347,Bilambil Heights,3491
SAL10350,Bilgola Plateau,3650
SAL30250,Bilinga,1883
SAL50123,Bilingurr,1540
SAL30252,Biloela,5692
SAL50126,Bindoon,1215
SAL10364,Bingara,1318
SAL50129,Binningup,1296
SAL10373,Birchgrove,3228
SAL40109,Birdwood (SA),1376
SAL30261,Birkdale,14816
SAL40110,Birkenhead,1798
SAL10376,Birmingham Gardens,2598
SAL10378,Birrong,3331
SAL30264,Birtinya,4378
SAL20248,Bittern,4276
SAL40111,Black Forest,1982
SAL20249,Black Hill (Vic.),2124
SAL30267,Black Mountain (Qld),1560
SAL30268,Black River (Qld),1493
SAL20251,Black Rock (Vic.),6389
SAL30270,Blackall,1365
SAL10389,Blackalls Park,2812
SAL20252,Blackburn,14478
SAL20253,Blackburn North,7627
SAL20254,Blackburn South,10939
SAL10390,Blackbutt (NSW),3291
SAL10391,Blackett,3586
SAL10392,Blackheath,4672
SAL60051,Blackmans Bay,7688
SAL30277,Blacks Beach,4153
SAL10395,Blacksmiths,1881
SAL30279,Blackstone,1144
SAL60052,Blackstone Heights,1245
SAL10396,Blacktown,50961
SAL10398,Blackwall (NSW),1941
SAL30281,Blackwater,4702
