sal_code_2021,suburb,population_2021
SAL11025,Coolamon,2275
SAL30680,Coolangatta (Qld),6491
SAL20624,Coolaroo,3193
SAL50324,Coolbellup,5698
SAL50325,Coolbinia,1751
SAL30684,Cooloola Cove,2921
SAL50329,Cooloongup,6696
SAL30686,Coolum Beach,9152
SAL11036,Cooma (NSW),6715
SAL30687,Coombabah,10298
SAL80041,Coombs,4851
SAL30688,Coomera,20225
SAL30691,Coominya,1029
SAL11043,Coonabarabran,3477
SAL11044,Coonamble,2666
SAL30698,Coopers Plains,5675
SAL30700,Cooran,1756
SAL11052,Cooranbong,7077
SAL30702,Cooroibah,2178
SAL30705,Cooroy,4801
SAL30707,Coorparoo,18132
SAL11053,Cootamundra,6885
SAL11056,Copacabana,2809
SAL11063,Coraki,1373
SAL30716,Coral Cove,1462
SAL11070,Cordeaux Heights,4460
SAL30724,Corinda,5555
SAL11073,Corindi Beach,1802
SAL20639,Corinella (Vic.),1181
SAL20640,Corio,15497
SAL11075,Corlette,5699
SAL30727,Cornubia,7810
SAL40314,Coromandel Valley,4380
SAL20644,Coronet Bay,1108
SAL11080,Corowa,5595
SAL11082,Corrimal,6972
SAL20648,Corryong,1352
SAL70065,Cossack (NT),1293
SAL30731,Cotswold Hills,1620
SAL50343,Cottesloe,7750
SAL11094,Coutts Crossing,1053
SAL40318,Cowandilla,1455
SAL50347,Cowaramup,2482
SAL40319,Cowell,1124
SAL20657,Cowes,6593
SAL11099,Cowra,10145
SAL80042,Crace,4800
SAL40322,Crafers,2006
SAL40323,Crafers West,1307
SAL40324,Craigburn Farm,3099
SAL50350,Craigie (WA),6456
SAL20661,Craigieburn,65178
SAL30741,Craiglie,1062
SAL40325,Craigmore,10943
SAL30742,Craignish,2190
SAL20662,Cranbourne,21281
SAL20663,Cranbourne East,24679
SAL20664,Cranbourne North,24683
SAL20665,Cranbourne South,3241
SAL20666,Cranbourne West,19969
SAL30743,Cranbrook (Qld),5844
SAL11105,Cranebrook,15779
SAL30744,Cranley,2281
SAL50353,Crawley,3975
SAL11113,Cremorne (NSW),11263
SAL20670,Cremorne (Vic.),2158
SAL11114,Cremorne Point,2270
SAL11115,Crescent Head,1633
SAL60139,Cressy (Tas.),1149
SAL30750,Crestmead,12271
SAL11116,Crestwood,4936
SAL20672,Creswick,3279
SAL20674,Crib Point,3343
SAL11117,Cringila,2156
SAL11119,Cromer (NSW),8030
SAL11120,Cronulla,17899
SAL11124,Crookwell,2686
SAL11132,Crows Nest (NSW),4974
SAL30759,Crows Nest (Qld),2212
SAL11135,Croydon (NSW),10755
SAL40329,Croydon (SA),1220
SAL20682,Croydon (Vic.),28608
SAL20683,Croydon Hills,4839
SAL20684,Croydon North,8092
SAL11136,Croydon Park (NSW),10929
SAL40330,Croydon Park (SA),4230
SAL20685,Croydon South,4759
SAL40331,Crystal Brook (SA),1537
SAL11147,Culburra Beach,2946
SAL11148,Culcairn,1483
SAL11155,Cumbalum,2211
SAL40335,Cumberland Park,2571
SAL11162,Cundletown,2050
SAL30767,Cunnamulla,1233
SAL11168,Curl Curl,2364
SAL20697,Curlewis (Vic.),4175
SAL30769,Curra,2104
SAL30771,Currajong,2490
SAL50367,Currambine,6834
SAL11176,Currans Hill,5541
SAL30773,Currimundi,6570
SAL30774,Currumbin,3278
SAL30775,Currumbin Valley,2084
SAL30776,Currumbin Waters,9797
SAL80043,Curtin,5569
SAL60143,Cygnet,1742
SAL11186,Daceyville,1146
SAL50371,Daglish,1551
SAL30783,D'Aguilar,1474
SAL30787,Daisy Hill (Qld),6925
SAL30789,Dakabin,5275
SAL30792,Dalby,12758
SAL50374,Dalkeith,4398
SAL20702,Dallas,6762
SAL11192,Dalmeny,2194
SAL50376,Dalyellup,9770
SAL50378,Dampier,1282
SAL50380,Dampier Peninsula,1051
SAL20707,Dandenong,30127
SAL20708,Dandenong North,22550
SAL11203,Dapto,10954
SAL50384,Darch,7347
SAL20712,Darley,9190
SAL50389,Darling Downs,1591
SAL30809,Darling Heights,5157
SAL11212,Darling Point,3977
SAL11213,Darlinghurst,10615
SAL40350,Darlington (SA),1275
SAL11215,Darlington (Sydney - NSW),2597
SAL50390,Darlington (WA),3725
SAL11216,Darlington Point,1030
SAL30812,Darra,4098
SAL70073,Darwin City,7149
SAL11221,Davidson,2725
SAL11223,Davistown,2602
SAL40353,Davoren Park,6392
SAL40354,Daw Park,2705
SAL50396,Dawesville,7143
SAL30816,Dayboro,2376
SAL20721,Daylesford,2781
SAL50397,Dayton,5507
SAL30818,Deagon,3773
SAL80044,Deakin,3124
SAL11226,Dean Park,3180
SAL30819,Deception Bay,19573
SAL11229,Dee Why,23354
SAL30821,Deebing Heights,3960
SAL20728,Deepdene (Vic.),2101
SAL20729,Deer Park,18145
SAL30824,Deeragun,4273
SAL20730,Delacombe,5408
SAL20731,Delahey,8077
SAL30829,Delaneys Creek,1366
SAL60148,Deloraine,3035
SAL11237,Denham Court,9129
SAL11239,Deniliquin,7432
SAL11240,Denistone,3726
SAL11241,Denistone East,2292
SAL11243,Denman,1821
SAL80045,Denman Prospect,2759
SAL50404,Denmark,2691
SAL20737,Dennington,1994
SAL50405,Derby (WA),3222
SAL40362,Dernancourt,4063
SAL20743,Derrimut,8651
SAL70078,Desert Springs,1536
SAL20748,Devon Meadows,1551
SAL40364,Devon Park (SA),1185
SAL60156,Devonport,14481
SAL11250,Dharruk,2806
SAL11253,Diamond Beach,1012
SAL20752,Diamond Creek,12503
SAL50409,Dianella,24169
SAL80046,Dickson,3292
SAL30841,Dicky Beach,1921
SAL30843,Diddillibah,1703
SAL20754,Diggers Rest,5669
SAL20756,Dimboola,1635
SAL20758,Dingley Village,10495
SAL30849,Dinmore,1109
SAL50415,Djugun,3291
SAL20766,Docklands,15495
SAL60160,Dodges Ferry,2646
SAL11269,Dolls Point,1633
SAL20770,Donald,1472
SAL20771,Doncaster,25020
SAL20772,Doncaster East,30926
SAL50416,Dongara,1393
SAL20773,Donnybrook (Vic.),2100
SAL50419,Donnybrook (WA),3035
SAL20774,Donvale,12644
SAL30863,Doolandella,7123
SAL30865,Doomadgee,1387
SAL30866,Doonan,3727
SAL11277,Doonside,13614
SAL11279,Dora Creek,1739
SAL20779,Doreen,27122
SAL11280,Dorrigo,1214
SAL11283,Double Bay,4709
SAL50423,Doubleview,9205
SAL30871,Douglas (Townsville - Qld),7780
SAL11285,Douglas Park,1386
SAL40371,Dover Gardens,3062
SAL11286,Dover Heights,4044
SAL20783,Doveton,9603
SAL80047,Downer,4296
SAL30876,Drayton,1813
SAL30877,Drewvale,4779
SAL70080,Driver,2747
SAL20788,Dromana,6626
SAL20790,Drouin,15287
SAL50426,Drummond Cove,1605
SAL11296,Drummoyne,12011
SAL20802,Drysdale,4976
SAL11299,Dubbo,43516
SAL11303,Dudley,2505
SAL50431,Dudley Park (WA),6957
SAL80048,Duffy,3395
SAL40379,Dulwich,1659
SAL11306,Dulwich Hill,14046
SAL11313,Dunbogan,1020
SAL50438,Duncraig,15982
SAL11315,Dundas (NSW),4959
SAL11316,Dundas Valley,5875
SAL30897,Dundowran,1085
SAL30898,Dundowran Beach,2299
SAL11319,Dunedoo,1097
SAL11323,Dungog,1983
SAL80049,Dunlop,7265
SAL50441,Dunsborough,6413
SAL70084,Durack (NT),3730
SAL30905,Durack (Qld),7788
SAL11331,Dural (Hornsby - NSW),7900
SAL30910,Dutton Park,2134
SAL60172,Dynnyrne,1633
SAL30913,Dysart (Qld),2918
SAL20822,Eagle Point,1306
SAL11344,Eagle Vale,5789
SAL30915,Eagleby,13594
SAL20823,Eaglehawk,5538
SAL20825,Eaglemont,3960
SAL30917,Earlville,4200
SAL11346,Earlwood,18053
SAL11347,East Albury,6224
SAL70086,East Arnhem,1194
SAL20827,East Bairnsdale,1352
SAL11348,East Ballina,5882
SAL20828,East Bendigo,2246
SAL11349,East Branxton,1881
SAL30919,East Brisbane,6186
SAL50452,East Bunbury,4019
SAL50453,East Cannington,6512
SAL11351,East Corrimal,3432
SAL60176,East Devonport,4384
SAL50457,East Fremantle,7819
SAL20829,East Geelong,4012
SAL11352,East Gosford,4391
SAL11354,East Hills,3370
SAL30927,East Innisfail,1757
SAL30928,East Ipswich,2321
SAL11355,East Jindabyne,1067
SAL11357,East Kempsey,1336
SAL11358,East Killara,2895
SAL11359,East Kurrajong,2203
SAL60177,East Launceston,2270
SAL11360,East Lindfield,3710
SAL11361,East Lismore,4980
SAL30929,East Mackay,3725
SAL11363,East Maitland,11860
SAL20830,East Melbourne,4896
SAL50464,East Perth,11681
SAL11364,East Ryde,2522
SAL70088,East Side,3098
SAL11366,East Tamworth,5417
SAL30933,East Toowoomba,5953
SAL50468,East Victoria Park,10569
SAL30935,Eastern Heights,3631
SAL11370,Eastgardens,4086
SAL11371,Eastlakes,6347
SAL11372,Eastwood (NSW),18695
SAL20836,Eastwood (Vic.),2855
SAL50472,Eaton (WA),8669
SAL30937,Eatons Hill,7822
SAL11374,Ebenezer (NSW),1081
SAL20838,Echuca,15056
SAL40388,Echunga,1219
SAL11378,Eden,3350
SAL50473,Eden Hill,3703
SAL40389,Eden Hills,3020
SAL20843,Eden Park,1194
SAL30940,Edens Landing,5094
SAL11380,Edensor Park,10279
SAL30941,Edge Hill,4088
SAL11382,Edgecliff,2499
SAL50474,Edgewater,4657
SAL11384,Edgeworth,6401
SAL20848,Edithvale,6276
SAL11386,Edmondson Park,12080
SAL30942,Edmonton,11409
SAL40395,Edwardstown,4514
SAL11389,Eglinton (NSW),3012
SAL50476,Eglinton (WA),3705
SAL30950,Eight Mile Plains,15326
SAL30951,Eimeo,3285
SAL30955,Elanora,12539
SAL11392,Elanora Heights,4581
SAL11394,Elderslie (Camden - NSW),7878
SAL11396,Eleebana,6460
SAL11397,Elermore Vale,6057
SAL30960,Eli Waters,3758
SAL30961,Elimbah,4290
SAL40397,Elizabeth,1033
SAL11398,Elizabeth Bay,4878
SAL40398,Elizabeth Downs,5160
SAL40399,Elizabeth East,4607
SAL40400,Elizabeth Grove,2531
SAL11400,Elizabeth Hills,3208
SAL40401,Elizabeth North,3588
SAL40402,Elizabeth Park,4428
SAL40403,Elizabeth South,2933
SAL40404,Elizabeth Vale,4331
SAL11401,Ellalong,1351
SAL30963,Ellen Grove,3586
SAL50482,Ellenbrook,24668
SAL20859,Elliminyt,3260
SAL30969,Elliott Heads,1160
SAL20864,Elsternwick,10887
SAL20865,Eltham (Vic.),18847
SAL20866,Eltham North,6830
SAL20867,Elwood,15153
SAL50484,Embleton,3600
SAL30973,Emerald (Qld),14904
SAL20868,Emerald (Vic.),5890
SAL11414,Emerald Beach,2677
SAL11416,Emerton,2295
SAL11418,Empire Bay,2522
SAL11420,Emu Heights (NSW),3205
SAL30975,Emu Park,2281
SAL11421,Emu Plains,8126
SAL40410,Encounter Bay,5305
SAL20871,Endeavour Hills,24455
SAL11424,Enfield (NSW),2992
SAL40411,Enfield (SA),6204
SAL11425,Engadine,17736
SAL11428,Enmore (Inner West - NSW),3871
SAL30978,Enoggera,5849
SAL11431,Epping (NSW),29551
SAL20878,Epping (Vic.),33489
SAL20879,Epsom (Vic.),5014
SAL11436,Erina,5205
SAL40412,Erindale,1172
SAL11438,Ermington,12686
SAL50491,Erskine (WA),5429
SAL11441,Erskine Park,6486
SAL11442,Erskineville,9657
SAL11444,Eschol Park,2607
SAL30984,Esk (Qld),1641
SAL50492,Esperance,2080
SAL20885,Essendon,21240
SAL20887,Essendon North,3071
SAL20888,Essendon West,1559
SAL11447,Estella,2541
SAL40415,Ethelton,1487
SAL30987,Etna Creek,1029
SAL11448,Ettalong Beach,5161
SAL30991,Eudlo,1192
SAL20889,Eumemmerring,2285
SAL30996,Eumundi,2504
SAL20892,Euroa,3508
SAL40420,Evandale (SA),1378
SAL60194,Evandale (Tas.),1265
SAL11472,Evans Head,2907
SAL40421,Evanston,2580
SAL40422,Evanston Gardens,2347
SAL40423,Evanston Park,4228
SAL80050,Evatt,5531
SAL40426,Everard Park,1071
SAL31011,Everton Hills,6673
SAL31012,Everton Park,10111
SAL11477,Ewingsdale,1025
SAL11478,Exeter (NSW),1087
SAL40427,Exeter (SA),1066
SAL50497,Exmouth,2806
SAL20899,Eynesbury,2838
SAL40428,Eyre,1113
SAL80051,Fadden,3006
SAL11480,Fairfield (NSW),18596
SAL31014,Fairfield (Qld),3106
SAL20901,Fairfield (Vic.),6535
SAL11481,Fairfield East,5198
SAL11482,Fairfield Heights,8269
SAL11483,Fairfield West,12981
SAL11485,Fairlight,6141
SAL40429,Fairview Park,3792
SAL11487,Fairy Meadow,7512
SAL50500,Falcon,5531
SAL70097,Fannie Bay,2875
SAL11494,Farmborough Heights,4179
SAL70098,Farrar,1650
SAL80052,Farrer,3787
SAL11499,Faulconbridge,4156
SAL20909,Fawkner,14274
SAL40433,Felixstow,2477
SAL11503,Fennell Bay,1780
SAL11504,Fern Bay,4046
SAL50502,Ferndale (WA),4457
SAL20917,Ferntree Gully,27398
SAL31030,Fernvale (Qld),3629
SAL20918,Ferny Creek,1524
SAL31032,Ferny Grove,5871
SAL31033,Ferny Hills,8726
SAL40434,Ferryden Park,4495
SAL31037,Fig Tree Pocket,4345
SAL11518,Figtree,12335
SAL40436,Findon,6997
SAL11521,Fingal Bay,1635
SAL11523,Finley,2455
SAL40438,Firle,1508
SAL80053,Fisher (ACT),3219
SAL11529,Fishing Point,1105
SAL31045,Fitzgibbon,6296
SAL20924,Fitzroy (Vic.),10431
SAL50508,Fitzroy Crossing,1181
SAL20925,Fitzroy North,12781
SAL11533,Five Dock,9823
SAL40444,Flagstaff Hill,10184
SAL31047,Flagstone,7087
SAL20929,Flemington,7025
SAL11536,Fletcher (NSW),8014
SAL11537,Flinders (NSW),7118
SAL20930,Flinders (Vic.),1130
SAL40448,Flinders Park,5489
SAL31054,Flinders View,5816
SAL20931,Flora Hill,3989
SAL11538,Floraville,1814
SAL50510,Floreat,8621
SAL80054,Florey,4781
SAL80055,Flynn (ACT),3671
SAL20935,Footscray,17131
SAL11539,Forbes (NSW),8157
SAL60207,Forcett,1102
SAL80056,Forde,4435
SAL31062,Forest Glen (Qld),1657
SAL11547,Forest Hill (NSW),3081
SAL20937,Forest Hill (Vic.),10780
SAL31064,Forest Lake,22676
SAL11549,Forest Lodge,4965
SAL31067,Forestdale,2560
SAL11551,Forestville (NSW),8659
SAL40453,Forestville (SA),1400
SAL80057,Forrest (ACT),1827
SAL31072,Forrest Beach (Qld),1364
SAL50517,Forrestdale,1027
SAL11552,Forresters Beach,3354
SAL50518,Forrestfield,13181
SAL11553,Forster (NSW),14187
SAL31074,Fortitude Valley,9708
SAL20940,Foster,2044
SAL80058,Franklin (ACT),7484
SAL60215,Franklin (Tas.),1301
SAL20947,Frankston,37331
SAL20948,Frankston North,5711
SAL20949,Frankston South,18801
SAL80059,Fraser,2126
SAL20950,Fraser Rise,9097
SAL11564,Frederickton,1452
SAL40464,Freeling,2688
SAL11567,Freemans Reach,2049
SAL50522,Fremantle,9251
SAL11571,Frenchs Forest,14267
SAL31086,Frenchville,8982
SAL11572,Freshwater (NSW),9186
SAL31087,Freshwater (Qld),2142
SAL40467,Fulham (SA),2920
SAL40468,Fulham Gardens,6573
SAL40469,Fullarton,4500
SAL50523,Furnissdale,1061
SAL20960,Fyansford,1206
SAL11580,Gables,3339
SAL60218,Gagebrook,1572
SAL31093,Gailes,1831
SAL70106,Galiwinku,2199
SAL11586,Galston,3195
SAL31098,Garbutt,2309
SAL11591,Garden Suburb,1959
SAL20965,Gardenvale,1019
SAL20966,Garfield,2114
SAL80061,Garran,3706
SAL11598,Gateshead,3121
SAL31104,Gatton,7851
SAL31105,Gaven,1638
SAL40476,Gawler East,5689
SAL40479,Gawler South,2618
SAL31106,Gayndah,1949
SAL31107,Gaythorne,3158
SAL31108,Geebung,4850
SAL20973,Geelong,5811
SAL20974,Geelong West,7345
SAL60223,Geeveston,1431
SAL60224,Geilston Bay,3461
SAL50533,Gelorup,2255
SAL20979,Gembrook,2559
SAL50534,Geographe,3622
SAL60225,George Town,4536
SAL11605,Georges Hall,9739
SAL11607,Georgetown (NSW),2072
SAL50536,Geraldton,3246
SAL11610,Gerringong,4165
SAL50542,Gidgegannup,2818
SAL40492,Gilberton (SA),1528
SAL11623,Gilgandra,2983
SAL70109,Gillen,4466
SAL40495,Gilles Plains,4101
SAL11628,Gillieston Heights,4796
SAL80062,Gilmore (ACT),2706
SAL31123,Gilston,2669
SAL31124,Gin Gin (Qld),1139
SAL80063,Giralang,3372
SAL11635,Girards Hill,1318
SAL11640,Girraween (NSW),6256
SAL70110,Girraween (NT),1668
SAL50550,Girrawheen,8897
SAL21001,Gisborne,10142
SAL11642,Gladesville,12867
SAL31132,Gladstone Central,1550
SAL21004,Gladstone Park,8213
SAL40498,Glandore,3041
SAL31137,Glass House Mountains,5601
SAL11645,Glebe (NSW),11680
SAL50551,Gledhow,1079
SAL11646,Gledswood Hills,6112
SAL11649,Glen Alpine,4429
SAL31145,Glen Eden,2918
SAL50552,Glen Forrest,2789
SAL21009,Glen Huntly,4905
SAL11653,Glen Innes,6219
SAL21010,Glen Iris (Vic.),26131
SAL50553,Glen Iris (WA),3143
SAL40500,Glen Osmond,2154
SAL21013,Glen Waverley,42642
SAL40501,Glenalta,2039
SAL11660,Glenbrook,5078
SAL11662,Glendale (NSW),3260
SAL50556,Glendalough,2628
SAL11663,Glendenning,5196
SAL31158,Gleneagle,2106
SAL40505,Glenelg (SA),3440
SAL40506,Glenelg East,3855
SAL40507,Glenelg North,6594
SAL40508,Glenelg South,2184
SAL31159,Glenella,4545
SAL11668,Glenfield (NSW),10536
SAL50557,Glenfield (WA),1009
SAL11669,Glenfield Park,5078
SAL21025,Glengarry (Vic.),1113
SAL40509,Glengowrie,5767
SAL11671,Glenhaven,6619
SAL31163,Glenlee (Qld),1193
SAL31165,Glenlogan,1122
SAL11674,Glenmore Park,25021
SAL11676,Glenning Valley,2023
SAL60235,Glenorchy (Tas.),12013
SAL11677,Glenorie,3792
SAL11679,Glenreagh,1005
SAL21045,Glenrowan,1049
SAL11682,Glenroy (Albury - NSW),3528
SAL21047,Glenroy (Vic.),23792
SAL40511,Glenside,2852
SAL11685,Glenugie,1298
SAL40512,Glenunga,2184
SAL31174,Glenvale,8120
SAL31175,Glenview,1396
SAL11686,Glenwood (NSW),15829
SAL31176,Glenwood (Qld),2137
SAL11688,Glossodia,2865
SAL11689,Gloucester,3133
SAL40515,Glynde,2102
SAL50561,Gnangara,1347
SAL11693,Gobbagombalin,2184
SAL11697,Gol Gol,1956
SAL50566,Golden Bay,5681
SAL31179,Golden Beach (Qld),5646
SAL40516,Golden Grove,10299
SAL21056,Golden Point (Ballarat - Vic.),2217
SAL21058,Golden Square,9220
SAL31182,Goldsborough (Qld),1099
SAL31183,Gooburrum,1518
SAL31187,Goodna,10391
SAL40520,Goodwood (SA),2823
SAL60238,Goodwood (Tas.),1142
SAL11710,Googong,7444
SAL40521,Goolwa,2558
SAL40522,Goolwa Beach,2222
SAL40523,Goolwa North,1307
SAL40524,Goolwa South,1041
SAL31195,Goombungee,1066
SAL31202,Goondiwindi,6230
SAL11717,Goonellabah,13351
SAL50571,Gooseberry Hill,3323
SAL80064,Gordon (ACT),7892
SAL11724,Gordon (NSW),8795
SAL21073,Gordon (Vic.),1393
SAL31210,Gordon Park,4390
SAL31213,Gordonvale,6944
SAL11727,Gorokan,8624
SAL11728,Gosford,4873
SAL50574,Gosnells,21149
SAL11731,Goulburn,23963
SAL21079,Gowanbrae,2971
SAL80065,Gowrie (ACT),3140
SAL31215,Gowrie Junction,2242
SAL31219,Gracemere,12023
SAL31220,Graceville,4764
SAL11739,Grafton,10563
SAL31225,Grange (Qld),4615
SAL40530,Grange (SA),6143
SAL11743,Grantham Farm,3669
SAL60244,Granton,1903
SAL21089,Grantville,1168
SAL11745,Granville (NSW),16716
SAL31228,Granville (Qld),2532
SAL11746,Grasmere,2105
SAL70112,Gray (NT),3142
SAL11750,Grays Point,3034
SAL11760,Green Point (Central Coast - NSW),6810
SAL11762,Green Valley (NSW),12919
SAL11763,Greenacre,26314
SAL40534,Greenacres,3356
SAL31236,Greenbank,9587
SAL11767,Greenfield Park,5394
SAL50583,Greenfields,9869
SAL11770,Greenhills Beach,1375
SAL50585,Greenmount (WA),2666
SAL40536,Greenock,1199
SAL21104,Greensborough,21070
SAL31242,Greenslopes,7941
SAL21105,Greenvale (Vic.),21274
SAL80066,Greenway,4129
SAL11775,Greenwell Point,1245
SAL11776,Greenwich,5469
SAL40538,Greenwith,10103
SAL50587,Greenwood (WA),9861
SAL11780,Gregory Hills,9142
SAL11782,Grenfell,2600
SAL11784,Greta (NSW),3349
SAL11787,Greystanes,23511
SAL31254,Griffin,12295
SAL80067,Griffith (ACT),5328
SAL11788,Griffith (NSW),19505
SAL60253,Grindelwald,1037
SAL11791,Grose Vale,1272
SAL21114,Grovedale,14869
SAL11796,Guildford (NSW),24091
SAL50594,Guildford (WA),2040
SAL11797,Guildford West,5762
SAL40539,Gulfview Heights,3674
SAL11800,Gulgong,2680
SAL31263,Gulliver,2884
SAL11801,Gulmarrad,1950
SAL31266,Gumdale,2298
SAL70115,Gunbalanya,1177
SAL11809,Gundagai,1699
SAL11811,Gundaroo,1233
SAL80068,Gungahlin,8586
SAL70116,Gunn,2564
SAL11818,Gunnedah,10359
SAL11829,Guyra,2003
SAL11831,Gwandalan,3785
SAL50599,Gwelup,5391
SAL11832,Gwynneville,3139
SAL11833,Gymea,8219
SAL11834,Gymea Bay,6983
SAL31280,Gympie,11355
SAL31281,Habana,1022
SAL11835,Haberfield,6480
SAL80069,Hackett,3227
SAL40544,Hackham,4491
SAL40545,Hackham West,3620
SAL21123,Haddon,1276
SAL21124,Hadfield,6269
SAL60257,Hadspen,2429
SAL40548,Hahndorf,2814
SAL11837,Halekulani,2677
SAL21125,Hallam,11355
SAL40554,Hallett Cove,12512
SAL50602,Halls Creek (WA),1572
SAL50603,Halls Head,14474
SAL50607,Hamersley,5209
SAL11845,Hamilton (NSW),4614
SAL31289,Hamilton (Qld),8922
SAL21129,Hamilton (Vic.),10346
SAL50609,Hamilton Hill,11327
SAL11848,Hamilton South,4057
SAL21130,Hamlyn Heights,6518
SAL11850,Hamlyn Terrace,8761
SAL50610,Hammond Park,6985
SAL11851,Hammondville,3691
SAL40561,Hampstead Gardens,1535
SAL21131,Hampton (Vic.),13518
SAL21132,Hampton East,5069
SAL21133,Hampton Park,26082
SAL50611,Hannans,2410
SAL11857,Hanwood,1388
SAL40564,Happy Valley (SA),11420
SAL21137,Harcourt,1038
SAL11858,Harden,1900
SAL21139,Harkaway,1011
SAL21140,Harkness,12463
SAL31296,Harlaxton,2824
SAL11865,Harrington,3381
SAL11866,Harrington Park,13332
SAL11867,Harris Park,5043
SAL50613,Harrisdale,11667
SAL80071,Harrison,8244
SAL31300,Harristown,9081
SAL50615,Harvey,3462
SAL11873,Hassall Grove,4401
SAL21145,Hastings (Vic.),10369
SAL31302,Hatton Vale,1555
SAL21148,Haven,1443
SAL80072,Hawker (ACT),3008
SAL11880,Hawks Nest,1413
SAL40574,Hawthorn (SA),2221
SAL21152,Hawthorn (Vic.),22322
SAL21153,Hawthorn East,14834
SAL40575,Hawthorndene,3389
SAL31305,Hawthorne,5090
SAL11881,Hay (NSW),2300
SAL31306,Hay Point,1306
SAL40578,Hayborough,2238
SAL11884,Haymarket,8305
SAL50619,Haynes,2417
SAL11887,Haywards Bay,1280
SAL11888,Hazelbrook,5077
SAL21156,Hazelwood North,1552
SAL40579,Hazelwood Park,1953
SAL21158,Healesville,7589
SAL31310,Healy,1824
SAL11890,Heathcote (NSW),6148
SAL21160,Heathcote (Vic.),2962
SAL21163,Heatherton,2826
SAL40580,Heathfield,1062
SAL21165,Heathmont,9933
SAL50622,Heathridge,6898
SAL31311,Heathwood,4944
SAL31312,Heatley,3907
SAL11893,Hebersham,5643
SAL11894,Heckenberg,3263
SAL40582,Hectorville,4241
SAL11895,Heddon Greta,2838
SAL21167,Heidelberg,7360
SAL21168,Heidelberg Heights,6758
SAL21169,Heidelberg West,5252
SAL50623,Helena Valley,4130
SAL11897,Helensburgh,6576
SAL31315,Helensvale,18949
SAL31316,Helidon,1130
SAL31318,Hemmant,2886
SAL40583,Hendon (SA),1271
SAL31320,Hendra,4914
SAL40584,Henley Beach,6259
SAL40585,Henley Beach South,2799
SAL50625,Henley Brook,2500
SAL11899,Henty (NSW),1225
SAL70123,Herbert,1610
SAL60268,Herdsmans Cove,1199
SAL31322,Heritage Park,4930
SAL31323,Hermit Park,3512
SAL21174,Herne Hill (Vic.),3507
SAL50628,Herne Hill (WA),1542
SAL31324,Herston,2311
SAL40586,Hewett,2961
SAL21179,Heyfield,2050
SAL21181,Heywood,1815
SAL80073,Higgins,3321
SAL50633,High Wycombe,12198
SAL40587,Highbury (SA),6956
SAL21185,Highett,12016
SAL31330,Highfields (Qld),8568
SAL40588,Highgate (SA),1504
SAL50635,Highgate (WA),2326
SAL31331,Highgate Hill,6229
SAL31333,Highland Park,6576
SAL21187,Highton,20736
SAL31336,Highvale,1979
SAL50636,Hilbert,4165
SAL11912,Hill Top (Wingecarribee - NSW),2792
SAL50638,Hillarys,11200
SAL40591,Hillbank,5013
SAL31338,Hillcrest (Qld),6268
SAL40592,Hillcrest (SA),3659
SAL60274,Hillcrest (Tas.),1088
SAL50639,Hillman,1807
SAL11918,Hillsdale,5647
SAL21193,Hillside (Melton - Vic.),17331
SAL11919,Hillston,1547
SAL11921,Hillvue,6528
SAL50641,Hilton (WA),4323
SAL11922,Hinchinbrook (NSW),11521
SAL40598,Hindmarsh Island,1846
SAL21195,Hmas Cerberus,1124
SAL60276,Hobart,3390
SAL11924,Hobartville,2712
SAL50645,Hocking,6987
SAL31345,Hodgson Vale,1444
SAL11927,Holbrook,1650
SAL40601,Holden Hill,3716
SAL80074,Holder (ACT),2816
SAL11928,Holgate,1023
SAL31346,Holland Park,8671
SAL31347,Holland Park West,6468
SAL31348,Holloways Beach,2398
SAL31349,Hollywell,2930
SAL11931,Holmesville,1413
SAL31350,Holmview,4455
SAL11932,Holroyd,1248
SAL11933,Holsworthy,5657
SAL80075,Holt,5628
SAL70127,Holtze,1940
SAL31352,Home Hill,2876
SAL11936,Homebush (NSW),11660
SAL11937,Homebush West,9108
SAL31356,Hope Island,14522
SAL31357,Hope Vale,1004
SAL40607,Hope Valley (SA),8184
SAL50654,Hopetoun (WA),1115
SAL21203,Hoppers Crossing,37216
SAL11942,Horningsea Park,3673
SAL11943,Hornsby,22462
SAL11944,Hornsby Heights,6354
SAL21206,Horsham,15134
SAL11949,Horsley,9437
SAL11950,Horsley Park,1790
SAL40612,Hove,3189
SAL31365,Howard,1394
SAL70129,Howard Springs,3153
SAL11957,Howlong,2997
SAL60281,Howrah,9545
SAL11958,Hoxton Park,4572
SAL31369,Hughenden,1113
SAL80076,Hughes (ACT),3210
SAL21214,Hughesdale,7563
SAL70132,Humpty Doo,4313
SAL11961,Hunters Hill,9014
SAL11962,Hunterview,3113
SAL40616,Huntfield Heights,4199
SAL21218,Huntingdale (Vic.),1949
SAL50661,Huntingdale (WA),9021
SAL21219,Huntly,3585
SAL60285,Huonville,3002
SAL11970,Hurlstone Park,5001
SAL21223,Hurstbridge,3554
SAL11971,Hurstville,31162
SAL11972,Hurstville Grove,2606
SAL31378,Hyde Park (Qld),1374
SAL40617,Hyde Park (SA),1660
SAL31380,Idalia,4563
SAL11982,Illawong,7427
SAL11983,Iluka (NSW),1764
SAL50664,Iluka (WA),5669
SAL31387,Imbil,1071
SAL31388,Inala,15273
SAL21229,Indented Head,1391
SAL31389,Indooroopilly,13622
SAL31390,Ingham,4455
SAL40619,Ingle Farm,9543
