source_dataset_year,postcode,suburb,suburb_key,region_label,source_url,error
2026,2153,Norwest,metropolitan-sydney:2153:NORWEST,Metropolitan Sydney,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2153-norwest,"Could not fetch https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2153-norwest: Command '['curl.exe', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', 'https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2153-norwest']' returned non-zero exit status 22."
2026,2155,North Kellyville,metropolitan-sydney:2155:NORTH KELLYVILLE,Metropolitan Sydney,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2155-north-kellyville,"Could not fetch https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2155-north-kellyville: Command '['curl.exe', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', 'https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2155-north-kellyville']' returned non-zero exit status 22."
2026,2287,Wallsend,hunter:2287:WALLSEND,Hunter,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2287-wallsend,"Could not fetch https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2287-wallsend: Command '['curl.exe', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', 'https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2287-wallsend']' returned non-zero exit status 22."
2026,2762,Tallawong,metropolitan-sydney:2762:TALLAWONG,Metropolitan Sydney,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2762-tallawong,"Could not fetch https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2762-tallawong: Command '['curl.exe', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', 'https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2762-tallawong']' returned non-zero exit status 22."
